date,dr007,r007,ncd_1y,cgb_10y
2025-01-02,1.8,1.95,2.0459,2.5057
2025-01-03,1.8063,1.9751,2.0503,2.5093
2025-01-06,1.8126,1.9996,2.0546,2.5129
2025-01-07,1.8188,2.0233,2.0588,2.5166
2025-01-08,1.8251,2.0456,2.063,2.5203
2025-01-09,1.8313,2.0662,2.0671,2.524
2025-01-10,1.8376,2.0846,2.0712,2.5277
2025-01-13,1.8438,2.1007,2.0751,2.5314
2025-01-14,1.8499,2.1141,2.079,2.5352
2025-01-15,1.8561,2.1246,2.0828,2.5389
2025-01-16,1.8622,2.1322,2.0865,2.5427
2025-01-17,1.8682,2.1368,2.0902,2.5465
2025-01-20,1.8743,2.1384,2.0937,2.5502
2025-01-21,1.8802,2.1372,2.0971,2.554
2025-01-22,1.8862,2.1332,2.1005,2.5578
2025-01-23,1.892,2.1269,2.1038,2.5615
2025-01-24,1.8978,2.1184,2.1069,2.5653
2025-01-27,1.9036,2.1081,2.11,2.569
2025-01-28,1.9093,2.0964,2.113,2.5728
2025-01-29,1.9149,2.0837,2.1158,2.5765
2025-01-30,1.9204,2.0704,2.1186,2.5802
2025-01-31,1.9259,2.0947,2.1212,2.5839
2025-02-03,1.9313,2.1184,2.1238,2.5875
2025-02-04,1.9366,2.1411,2.1262,2.5912
2025-02-05,1.9418,2.1624,2.1285,2.5948
2025-02-06,1.9469,2.1818,2.1307,2.5984
2025-02-07,1.952,2.1991,2.1328,2.6019
2025-02-10,1.9569,2.2138,2.1348,2.6054
2025-02-11,1.9618,2.2259,2.1367,2.6089
2025-02-12,1.9665,2.235,2.1384,2.6124
2025-02-13,1.9711,2.2411,2.14,2.6158
2025-02-14,1.9757,2.2442,2.1416,2.6191
2025-02-17,1.9801,2.2442,2.1429,2.6225
2025-02-18,1.9844,2.2413,2.1442,2.6257
2025-02-19,1.9886,2.2356,2.1453,2.629
2025-02-20,1.9926,2.2275,2.1464,2.6322
2025-02-21,1.9966,2.2171,2.1473,2.6353
2025-02-24,2.0004,2.2049,2.148,2.6384
2025-02-25,2.0041,2.1912,2.1487,2.6414
2025-02-26,2.0076,2.1764,2.1492,2.6443
2025-02-27,2.0111,2.1611,2.1496,2.6472
2025-02-28,2.0144,2.1832,2.1498,2.6501
2025-03-03,2.0175,2.2046,2.15,2.6529
2025-03-04,2.0206,2.2251,2.15,2.6556
2025-03-05,2.0235,2.244,2.1499,2.6582
2025-03-06,2.0262,2.2611,2.1496,2.6608
